연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
1990,0,0,0,0,0,0,3,8,0,0,0,0,11,14
1991,0,0,0,0,0,0,0,4,0,0,0,0,4,22
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,33
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,33
1994,0,0,0,0,0,2,17,10,0,0,0,0,29,3
1995,0,0,0,0,0,0,1,2,0,0,0,0,3,27
1996,0,0,0,0,0,0,2,5,0,0,0,0,7,19
1997,0,0,0,0,0,3,7,6,0,0,0,0,16,9
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,33
1999,0,0,0,0,0,2,2,10,0,0,0,0,14,11
2000,0,0,0,0,0,3,9,6,0,0,0,0,18,7
2001,0,0,0,0,0,0,0,4,0,0,0,0,4,22
2002,0,0,0,0,0,0,3,0,0,0,0,0,3,27
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,33
2004,0,0,0,0,0,0,4,6,0,0,0,0,10,15
2005,0,0,0,0,0,0,3,3,0,0,0,0,6,21
2006,0,0,0,0,0,0,0,7,0,0,0,0,7,19
2007,0,0,0,0,0,1,0,3,0,0,0,0,4,22
2008,0,0,0,0,0,0,0,3,0,0,0,0,3,27
2009,0,0,0,0,0,0,0,4,0,0,0,0,4,22
2010,0,0,0,0,0,0,0,2,0,0,0,0,2,31
2011,0,0,0,0,0,0,1,2,0,0,0,0,3,27
2012,0,0,0,0,0,2,3,9,0,0,0,0,14,11
2013,0,0,0,0,0,0,0,2,0,0,0,0,2,31
2014,0,0,0,0,1,0,7,2,0,0,0,0,10,15
2015,0,0,0,0,0,1,4,3,0,0,0,0,8,18
2016,0,0,0,0,0,0,4,20,0,0,0,0,24,5
2017,0,0,0,0,0,1,5,7,0,0,0,0,13,13
2018,0,0,0,0,0,0,16,19,0,0,0,0,35,1
2019,0,0,0,0,1,0,4,10,0,0,0,0,15,10
2020,0,0,0,0,0,2,0,2,0,0,0,0,4,22
2021,0,0,0,0,0,0,15,3,0,0,0,0,18,7
2022,0,0,0,0,0,0,10,0,0,0,0,0,10,15
2023,0,0,0,0,0,2,6,11,0,0,0,0,19,6
2024,0,0,0,0,0,4,2,21,6,0,0,0,33,2
2025,0,0,0,0,0,3,15,9,1,0,0,0,28,4df_heatwave = pd.read_csv("heatwave_days.csv")